2020/9/1 星期二 12:02:41	正在初始化...已完成

2020/9/1 星期二 12:02:42	链接12306服务器速度:159毫秒[优]

2020/9/1 星期二 12:02:43	获取到:747个CDN,开始智能测速中...

2020/9/1 星期二 12:02:43	[滑块]您的Internet Explorer存在故障，无法正常显示滑块，已切换系统默认浏览器模式。

2020/9/1 星期二 12:02:57	查询完毕,本次查询共用时:995毫秒

2020/9/1 星期二 12:03:11	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 12:03:58	初始化完毕,可以进行操作

2020/9/1 星期二 12:03:59	[滑块]您的Internet Explorer存在故障，无法正常显示滑块，已切换系统默认浏览器模式。

2020/9/1 星期二 12:03:59	获取到:747个CDN,开始智能测速中...

2020/9/1 星期二 12:51:41	结束车票查询

2020/9/1 星期二 12:54:35	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 13:00:00	开始预订G6313车次的车票...

2020/9/1 星期二 13:00:00	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 13:00:00	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 13:00:00	[任务2]申请订单成功,开始获取令牌...

2020/9/1 星期二 13:00:01	[任务2]当前需要滑块验证码，正在执行...

2020/9/1 星期二 13:00:01	[滑块]已打开浏览器，请在浏览器中操作滑块！

2020/9/1 星期二 13:00:01	[微信通知]发送成功！

2020/9/1 星期二 13:00:08	[任务2]滑块验证码效验完成，提交订单...

2020/9/1 星期二 13:00:08	[任务3]令牌获取完成,开始效验订单...

2020/9/1 星期二 13:00:09	[任务4]实时余票为(178)张,继续提交...

2020/9/1 星期二 13:00:10	[任务7]排队人数现已超过余票数，请您选择其他席别或车次。

2020/9/1 星期二 13:00:10	[小黑屋]该数据为缓存,将G6313车次(O)放入小黑屋300秒...

2020/9/1 星期二 13:00:10	开始查询2020-09-30车次，间隔：默认

2020/9/1 星期二 13:00:10	开始预订G6325车次的车票...

2020/9/1 星期二 13:00:10	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 13:00:10	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 13:00:10	[任务2]申请订单成功,开始获取令牌...

2020/9/1 星期二 13:00:10	[任务2]当前需要滑块验证码，正在执行...

2020/9/1 星期二 13:00:10	[滑块]已打开浏览器，请在浏览器中操作滑块！

2020/9/1 星期二 13:00:15	[任务2]滑块验证码效验完成，提交订单...

2020/9/1 星期二 13:00:15	[任务3]令牌获取完成,开始效验订单...

2020/9/1 星期二 13:00:17	[任务4]实时余票为(939)张,继续提交...

2020/9/1 星期二 13:00:20	[提交成功]等待处理,本次用时:10.19秒

2020/9/1 星期二 13:00:24	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/1 星期二 13:00:40	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/1 星期二 13:00:57	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/1 星期二 13:01:14	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/1 星期二 13:01:31	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/1 星期二 13:01:47	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/1 星期二 13:02:04	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/1 星期二 13:02:22	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/1 星期二 13:02:38	[12306]服务器处理中，正在排队，请耐心等待...

2020/9/1 星期二 13:02:48	取消排队订单成功！

2020/9/1 星期二 13:02:48	开始查询2020-09-30车次，间隔：1000

2020/9/1 星期二 13:02:48	开始预订G6325车次的车票...

2020/9/1 星期二 13:02:48	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 13:02:48	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 13:02:48	[任务2]申请订单成功,开始获取令牌...

2020/9/1 星期二 13:02:49	[任务2]当前需要滑块验证码，正在执行...

2020/9/1 星期二 13:02:49	[滑块]已打开浏览器，请在浏览器中操作滑块！

2020/9/1 星期二 13:02:54	[任务2]滑块验证码效验完成，提交订单...

2020/9/1 星期二 13:02:54	[任务3]令牌获取完成,开始效验订单...

2020/9/1 星期二 13:02:54	[任务4]目前排队人数已经超过余票张数

2020/9/1 星期二 13:02:55	[小黑屋]该数据为缓存,将G6325车次(O)放入小黑屋300秒...

2020/9/1 星期二 13:02:55	开始查询2020-09-30车次，间隔：1000

2020/9/1 星期二 13:02:55	开始预订G6309车次的车票...

2020/9/1 星期二 13:02:55	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 13:02:55	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 13:02:55	[任务2]申请订单成功,开始获取令牌...

2020/9/1 星期二 13:02:55	[任务2]当前需要滑块验证码，正在执行...

2020/9/1 星期二 13:02:55	[滑块]已打开浏览器，请在浏览器中操作滑块！

2020/9/1 星期二 13:02:59	[任务2]滑块验证码效验完成，提交订单...

2020/9/1 星期二 13:02:59	[任务3]令牌获取完成,开始效验订单...

2020/9/1 星期二 13:03:00	[任务4]目前排队人数已经超过余票张数

2020/9/1 星期二 13:03:00	[小黑屋]该数据为缓存,将G6309车次(O)放入小黑屋300秒...

2020/9/1 星期二 13:03:00	开始查询2020-09-30车次，间隔：1000

2020/9/1 星期二 13:03:00	开始预订G6329车次的车票...

2020/9/1 星期二 13:03:00	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 13:03:00	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 13:03:00	[任务2]申请订单成功,开始获取令牌...

2020/9/1 星期二 13:03:01	[任务3]令牌获取完成,开始效验订单...

2020/9/1 星期二 13:03:01	[任务4]目前排队人数已经超过余票张数

2020/9/1 星期二 13:03:01	[小黑屋]该数据为缓存,将G6329车次(O)放入小黑屋300秒...

2020/9/1 星期二 13:03:01	开始查询2020-09-30车次，间隔：1000

2020/9/1 星期二 13:03:02	开始提交G6313,G1607车次的候补...

2020/9/1 星期二 13:03:02	[候补]线程启动完成,开始解析算法...

2020/9/1 星期二 13:03:02	[任务1]算法解析完成,开始申请候补...

2020/9/1 星期二 13:03:02	[任务2]候补申请完成,获取用户状态...

2020/9/1 星期二 13:03:02	[任务3]当前需要滑块验证码，正在执行...

2020/9/1 星期二 13:03:02	[滑块]已打开浏览器，请在浏览器中操作滑块！

2020/9/1 星期二 13:03:30	结束车票查询

2020/9/1 星期二 13:03:31	开始查询2020-09-30车次，间隔：1000

2020/9/1 星期二 13:03:31	开始预订G6325车次的车票...

2020/9/1 星期二 13:03:31	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 13:03:31	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 13:03:32	[任务2]申请订单成功,开始获取令牌...

2020/9/1 星期二 13:03:32	[任务2]当前需要滑块验证码，正在执行...

2020/9/1 星期二 13:03:32	[滑块]已打开浏览器，请在浏览器中操作滑块！

2020/9/1 星期二 13:03:43	[任务2]滑块验证码效验完成，提交订单...

2020/9/1 星期二 13:03:43	[任务3]令牌获取完成,开始效验订单...

2020/9/1 星期二 13:03:44	[任务4]目前排队人数已经超过余票张数

2020/9/1 星期二 13:03:44	[小黑屋]该数据为缓存,将G6325车次(O)放入小黑屋300秒...

